aggressor,nodes,victim_vec_bytes,run,ratio,va_same_switch_frac,va_same_cell_frac,va_cross_cell_frac,alloc_span_cells
inc,32,16777216,congestion_agtr_inc_n32_vm16777216_am1048576_2026-07-02_16-02-14-087137,0.6054,0.000,0.500,0.500,2
inc,32,16777216,congestion_agtr_inc_n32_vm16777216_am1048576_2026-07-02_16-01-54-518769,0.6013,0.000,0.379,0.621,3
inc,32,16777216,congestion_agtr_inc_n32_vm16777216_am1048576_2026-07-02_12-56-36-015216,0.6264,0.000,0.508,0.492,2
inc,32,16777216,congestion_agtr_inc_n32_vm16777216_am1048576_2026-07-02_16-02-01-092603,0.7355,0.000,0.449,0.551,3
inc,32,16777216,congestion_agtr_inc_n32_vm16777216_am1048576_2026-07-02_16-01-52-452636,1.0075,0.000,0.344,0.656,3
inc,32,16777216,congestion_agtr_inc_n32_vm16777216_am1048576_2026-07-01_14-53-12-608316,0.7706,0.000,0.445,0.555,3
inc,32,16777216,congestion_agtr_inc_n32_vm16777216_am1048576_2026-07-02_16-02-11-794652,0.6081,0.000,0.500,0.500,2
inc,32,16777216,congestion_agtr_inc_n32_vm16777216_am1048576_2026-07-01_16-37-51-469843,1.0067,0.000,0.480,0.520,3
inc,32,16777216,congestion_agtr_inc_n32_vm16777216_am1048576_2026-07-02_16-02-18-294273,0.6131,0.000,0.500,0.500,2
inc,32,16777216,congestion_agtr_inc_n32_vm16777216_am1048576_2026-07-02_16-01-58-904681,0.6507,0.000,0.379,0.621,3
inc,32,16777216,congestion_agtr_inc_n32_vm16777216_am1048576_2026-07-02_16-02-20-710735,0.5645,0.000,0.500,0.500,2
inc,32,16777216,congestion_agtr_inc_n32_vm16777216_am1048576_2026-07-02_16-02-07-106978,0.4962,0.000,0.473,0.527,3
inc,32,16777216,congestion_agtr_inc_n32_vm16777216_am1048576_2026-07-02_12-56-31-566444,0.6481,0.000,0.508,0.492,2
inc,32,16777216,congestion_agtr_inc_n32_vm16777216_am1048576_2026-07-02_12-56-37-905601,0.6453,0.000,0.508,0.492,2
inc,32,16777216,congestion_agtr_inc_n32_vm16777216_am1048576_2026-07-02_16-01-56-708502,0.6284,0.000,0.379,0.621,3
inc,32,16777216,congestion_agtr_inc_n32_vm16777216_am1048576_2026-07-02_12-56-33-889032,0.6493,0.000,0.508,0.492,2
inc,32,16777216,congestion_agtr_inc_n32_vm16777216_am1048576_2026-07-02_16-02-09-708614,0.5908,0.000,0.500,0.500,2
inc,32,16777216,congestion_agtr_inc_n32_vm16777216_am1048576_2026-07-02_12-56-29-126174,0.6430,0.000,0.508,0.492,2
inc,64,16777216,congestion_agtr_inc_n64_vm16777216_am1048576_2026-07-02_16-04-10-026441,0.3048,0.000,0.254,0.746,4
inc,64,16777216,congestion_agtr_inc_n64_vm16777216_am1048576_2026-07-02_16-04-01-085489,0.2967,0.000,0.254,0.746,4
inc,64,16777216,congestion_agtr_inc_n64_vm16777216_am1048576_2026-07-02_12-57-06-886650,0.3731,0.000,0.261,0.739,4
inc,64,16777216,congestion_agtr_inc_n64_vm16777216_am1048576_2026-07-02_16-03-51-668053,0.2637,0.000,0.254,0.746,4
inc,64,16777216,congestion_agtr_inc_n64_vm16777216_am1048576_2026-07-02_12-57-04-508081,0.3700,0.000,0.261,0.739,4
inc,64,16777216,congestion_agtr_inc_n64_vm16777216_am1048576_2026-07-02_12-57-02-217805,0.3765,0.000,0.261,0.739,4
inc,64,16777216,congestion_agtr_inc_n64_vm16777216_am1048576_2026-07-02_16-03-49-149465,0.2598,0.000,0.254,0.746,4
inc,64,16777216,congestion_agtr_inc_n64_vm16777216_am1048576_2026-07-02_16-04-12-234523,0.3168,0.000,0.254,0.746,4
inc,64,16777216,congestion_agtr_inc_n64_vm16777216_am1048576_2026-07-02_12-57-00-177740,0.3111,0.000,0.244,0.756,5
inc,64,16777216,congestion_agtr_inc_n64_vm16777216_am1048576_2026-07-02_16-03-43-734422,0.2846,0.000,0.257,0.743,4
inc,64,16777216,congestion_agtr_inc_n64_vm16777216_am1048576_2026-07-02_16-04-03-278393,0.3123,0.000,0.254,0.746,4
inc,64,16777216,congestion_agtr_inc_n64_vm16777216_am1048576_2026-07-02_16-03-45-953445,0.3372,0.000,0.257,0.743,4
inc,64,16777216,congestion_agtr_inc_n64_vm16777216_am1048576_2026-07-02_16-03-56-401655,0.3212,0.000,0.254,0.746,4
inc,64,16777216,congestion_agtr_inc_n64_vm16777216_am1048576_2026-07-01_14-53-56-062737,0.5326,0.000,0.230,0.770,5
inc,64,16777216,congestion_agtr_inc_n64_vm16777216_am1048576_2026-07-02_16-03-41-568230,0.4491,0.000,0.242,0.758,5
inc,64,16777216,congestion_agtr_inc_n64_vm16777216_am1048576_2026-07-02_16-04-05-630601,0.3427,0.000,0.254,0.746,4
inc,64,16777216,congestion_agtr_inc_n64_vm16777216_am1048576_2026-07-02_16-03-54-097623,0.3538,0.000,0.254,0.746,4
inc,64,16777216,congestion_agtr_inc_n64_vm16777216_am1048576_2026-07-02_12-57-10-135164,0.3766,0.000,0.261,0.739,4
inc,64,16777216,congestion_agtr_inc_n64_vm16777216_am1048576_2026-07-02_16-03-58-759229,0.3461,0.000,0.254,0.746,4
inc,64,16777216,congestion_agtr_inc_n64_vm16777216_am1048576_2026-07-02_16-04-07-884071,0.3092,0.000,0.254,0.746,4
inc,128,16777216,congestion_agtr_inc_n128_vm16777216_am1048576_2026-07-01_14-56-21-506573,1.0064,0.002,0.067,0.931,19
